"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 09 22:46:54 BRT 2020","Thu Jul 09 22:46:58 BRT 2020","4253","LoginBank","Test on FireFox","tests.TestLoginBank","tests.TestLoginBank","verifyAcessInvalid","verifyAcessInvalid",""
"passed","Thu Jul 09 22:46:23 BRT 2020","Thu Jul 09 22:46:27 BRT 2020","4105","LoginBank","Test on Chrome","tests.TestLoginBank","tests.TestLoginBank","verifyAcessEmpty","verifyAcessEmpty",""
"passed","Thu Jul 09 22:47:12 BRT 2020","Thu Jul 09 22:47:14 BRT 2020","1816","LoginBank","Test on IE","tests.TestLoginBank","tests.TestLoginBank","verifyAcessInvalid","verifyAcessInvalid",""
"passed","Thu Jul 09 22:46:31 BRT 2020","Thu Jul 09 22:46:35 BRT 2020","4712","LoginBank","Test on Chrome","tests.TestLoginBank","tests.TestLoginBank","verifyAcessSuccessfully","verifyAcessSuccessfully",""
"passed","Thu Jul 09 22:46:27 BRT 2020","Thu Jul 09 22:46:31 BRT 2020","3238","LoginBank","Test on Chrome","tests.TestLoginBank","tests.TestLoginBank","verifyAcessInvalid","verifyAcessInvalid",""
"broken","Thu Jul 09 22:47:14 BRT 2020","Thu Jul 09 22:47:30 BRT 2020","15556","LoginBank","Test on IE","tests.TestLoginBank","tests.TestLoginBank","verifyAcessSuccessfully","verifyAcessSuccessfully",""
"passed","Thu Jul 09 22:47:08 BRT 2020","Thu Jul 09 22:47:12 BRT 2020","4341","LoginBank","Test on IE","tests.TestLoginBank","tests.TestLoginBank","verifyAcessEmpty","verifyAcessEmpty",""
"passed","Thu Jul 09 22:46:49 BRT 2020","Thu Jul 09 22:46:54 BRT 2020","4635","LoginBank","Test on FireFox","tests.TestLoginBank","tests.TestLoginBank","verifyAcessEmpty","verifyAcessEmpty",""
"passed","Thu Jul 09 22:46:58 BRT 2020","Thu Jul 09 22:47:01 BRT 2020","3456","LoginBank","Test on FireFox","tests.TestLoginBank","tests.TestLoginBank","verifyAcessSuccessfully","verifyAcessSuccessfully",""
